WSD_INFORMATION	CUI	NUM_SENSES	GOLD_EMERGENCE_YEAR	PREDICTED_EMERGENCE_YEAR	MinYearGoldSENSEdata	MaxYearGoldSENSEdata	MinYearPredictedSENSEdata	MaxYearPredictedSENSEdata	StartGoldData	EndGoldData	GoldYearRange	EvalStatus	IndivError	NormalisedError	IndivByTargets	NotmalisedBytargets	GoldEMERGENCEstatus	PredictedEMERGENCEstatus	GoldPredEMERGENCE
Astragalus	C0330845	2	0	0	1947	2018	1950	1950	1947	2018	71	TN	0	0.000000	0.000000	0.000000	-	-	-
Astragalus	C0039277	2	0	0	1947	2018	1947	1947	1947	2018	71	TN	0	0.000000		-	-	-	-
B-Cell Leukemia	C0023434	2	0	0	1986	2018	1986	1986	1986	2018	32	TN	0	0.000000	16.000000	0.500000	-	-	-
B-Cell Leukemia	C2004493	2	0	1986	1988	2018	1987	1987	1986	2018	32	FP	32	1.000000		-	-	Predicted_EMERGENCE	-
BAT	C0006298	2	0	0	1949	2018	1946	1946	1946	2018	72	TN	0	0.000000	0.000000	0.000000	-	-	-
BAT	C0008139	2	0	0	1946	2018	1946	1946	1946	2018	72	TN	0	0.000000		-	-	-	-
BLM	C0005859	2	0	0	1981	2018	1971	1971	1971	2018	47	TN	0	0.000000	0.000000	0.000000	-	-	-
BLM	C0005740	2	0	0	1971	2018	1971	1971	1971	2018	47	TN	0	0.000000		-	-	-	-
BPD	C0006012	2	0	0	1980	2018	1980	1980	1980	2018	38	TN	0	0.000000	0.000000	0.000000	-	-	-
BPD	C0006287	2	1980	1980	1981	2018	1981	1981	1980	2018	38	TP	0	0.000000		-	Gold_EMERGENCE	Predicted_EMERGENCE	MATCHED_Emergence
BR	C0006137	2	0	0	1946	2018	1946	1946	1946	2018	72	TN	0	0.000000	36.000000	0.500000	-	-	-
BR	C0006222	2	0	1946	1946	2018	1946	1946	1946	2018	72	FP	72	1.000000		-	-	Predicted_EMERGENCE	-
BSA	C0005902	2	0	0	1952	2018	1952	1952	1952	2018	66	TN	0	0.000000	0.000000	0.000000	-	-	-
BSA	C0036774	2	0	0	1952	2018	1952	1952	1952	2018	66	TN	0	0.000000		-	-	-	-
BSE	C0085209	2	1991	1991	1991	2018	1991	1991	1991	2018	27	TP	0	0.000000	0.000000	0.000000	Gold_EMERGENCE	Predicted_EMERGENCE	MATCHED_Emergence
BSE	C0085105	2	0	0	1991	2018	1991	1991	1991	2018	27	TN	0	0.000000		-	-	-	-
Borrelia	C0006033	2	0	1979	1979	2018	1979	1979	1979	2018	39	FP	39	1.000000	19.500000	0.500000	-	Predicted_EMERGENCE	-
Borrelia	C0024198	2	0	0	1983	2018	1979	1979	1979	2018	39	TN	0	0.000000		-	-	-	-
Brucella abortus	C0006304	2	0	0	1946	2018	1946	1946	1946	2018	72	TN	0	0.000000	0.000000	0.000000	-	-	-
Brucella abortus	C0302363	2	0	0	1946	2018	1946	1946	1946	2018	72	TN	0	0.000000		-	-	-	-
CAD	C1956346	2	1983	0	1985	2018	1983	1983	1983	2018	35	FN	35	1.000000	17.500000	0.500000	Gold_EMERGENCE	-	-
CAD	C0011905	2	0	0	1983	2018	1985	1985	1983	2018	35	TN	0	0.000000		-	-	-	-
CAM	C0007578	2	0	1986	1981	2018	1982	1982	1981	2018	37	FP	37	1.000000	37.000000	1.000000	-	Predicted_EMERGENCE	-
CAM	C0178551	2	2002	0	2003	2018	1981	1981	1981	2018	37	FN	37	1.000000		-	Gold_EMERGENCE	-	-
CCD	C0751951	2	1997	0	1965	2017	1965	1965	1965	2018	53	FN	53	1.000000	26.500000	0.500000	Gold_EMERGENCE	-	-
CCD	C0008928	2	0	0	1965	2018	1965	1965	1965	2018	53	TN	0	0.000000		-	-	-	-
CCl4	C0209338	2	1994	0	1991	2018	1946	1946	1946	2018	72	FN	72	1.000000	36.000000	0.500000	Gold_EMERGENCE	-	-
CCl4	C0007022	2	0	0	1946	2018	1946	1946	1946	2018	72	TN	0	0.000000		-	-	-	-
CDA	C0002876	2	0	0	1979	2018	1979	1979	1979	2018	39	TN	0	0.000000	0.000000	0.000000	-	-	-
CDA	C0092801	2	1982	1982	1983	2018	1981	1981	1979	2018	39	TP	0	0.000000		-	Gold_EMERGENCE	Predicted_EMERGENCE	MATCHED_Emergence
CDR	C0011485	2	0	0	1973	2018	1973	1973	1973	2018	45	TN	0	0.000000	0.000000	0.000000	-	-	-
CDR	C0021024	2	0	0	1998	2018	1974	1974	1973	2018	45	TN	0	0.000000		-	-	-	-
CH	C0039021	2	1946	0	1946	2018	1946	1946	1946	2018	72	FN	72	1.000000	36.000000	0.500000	Gold_EMERGENCE	-	-
CH	C0008115	2	0	0	1946	2018	1946	1946	1946	2018	72	TN	0	0.000000		-	-	-	-
CI	C0008107	2	0	0	1949	2018	1949	1949	1949	2018	69	TN	0	0.000000	0.000000	0.000000	-	-	-
CI	C0022326	2	0	0	1951	2018	1949	1949	1949	2018	69	TN	0	0.000000		-	-	-	-
CIS	C0162854	2	1991	0	1992	2018	1972	1972	1972	2018	46	FN	46	1.000000	23.000000	0.500000	Gold_EMERGENCE	-	-
CIS	C0007099	2	0	0	1972	2018	1972	1972	1972	2018	46	TN	0	0.000000		-	-	-	-
CLS	C0265252	2	0	1996	2002	2018	1996	1996	1996	2018	22	FP	22	1.000000	11.000000	0.500000	-	Predicted_EMERGENCE	-
CLS	C0343084	2	0	0	1996	2018	1996	1996	1996	2018	22	TN	0	0.000000		-	-	-	-
CP	C0007789	3	0	0	1946	2018	1946	1946	1946	2018	72	TN	0	0.000000	24.000000	0.333333	-	-	-
CP	C0033477	3	1971	0	1946	2018	1946	1946	1946	2018	72	FN	72	1.000000		-	Gold_EMERGENCE	-	-
CP	C0008925	3	0	0	1946	2018	1946	1946	1946	2018	72	TN	0	0.000000		-	-	-	-
CPDD	C0553730	2	0	0	1971	2018	1971	1971	1971	2018	47	TN	0	0.000000	0.000000	0.000000	-	-	-
CPDD	C0008838	2	1971	1971	1972	2018	1972	1972	1971	2018	47	TP	0	0.000000		-	Gold_EMERGENCE	Predicted_EMERGENCE	MATCHED_Emergence
CRF	C0022661	2	0	0	1954	2018	1954	1954	1954	2018	64	TN	0	0.000000	0.000000	0.000000	-	-	-
CRF	C0010132	2	0	0	1956	2018	1956	1956	1954	2018	64	TN	0	0.000000		-	-	-	-
CTX	C0238052	2	1997	0	1974	2018	1960	1960	1960	2018	58	FN	58	1.000000	29.000000	0.500000	Gold_EMERGENCE	-	-
CTX	C0010583	2	0	0	1960	2018	1960	1960	1960	2018	58	TN	0	0.000000		-	-	-	-
Ca	C0006675	3	0	0	1945	2018	1946	1946	1945	2018	73	TN	0	0.000000	24.333333	0.333333	-	-	-
Ca	C0006823	3	0	0	1945	2018	1945	1945	1945	2018	73	TN	0	0.000000		-	-	-	-
Ca	C0006754	3	1945	0	1945	2018	1945	1945	1945	2018	73	FN	73	1.000000		-	Gold_EMERGENCE	-	-
Callus	C0376154	2	0	0	1972	2018	1972	1972	1972	2018	46	TN	0	0.000000	23.000000	0.500000	-	-	-
Callus	C0006767	2	0	1972	1972	2018	1972	1972	1972	2018	46	FP	46	1.000000		-	-	Predicted_EMERGENCE	-
Cell	C1136359	2	2010	1969	1999	2018	1969	1969	1969	2018	49	FP	41	0.836735	20.500000	0.418368	Gold_EMERGENCE	Predicted_EMERGENCE	-
Cell	C0007634	2	0	0	1969	2018	1969	1969	1969	2018	49	TN	0	0.000000		-	-	-	-
Cement	C1706094	2	0	1957	1957	2018	1958	1958	1957	2018	61	FP	61	1.000000	30.500000	0.500000	-	Predicted_EMERGENCE	-
Cement	C0011343	2	0	0	1957	2018	1957	1957	1957	2018	61	TN	0	0.000000		-	-	-	-
Cholera	C0008359	2	0	0	1946	2018	1945	1945	1945	2018	73	TN	0	0.000000	0.000000	0.000000	-	-	-
Cholera	C0008354	2	0	0	1945	2018	1945	1945	1945	2018	73	TN	0	0.000000		-	-	-	-
Cilia	C0008778	2	0	2003	1950	2018	1957	1957	1950	2018	68	FP	68	1.000000	34.000000	0.500000	-	Predicted_EMERGENCE	-
Cilia	C0015422	2	0	0	1950	2018	1950	1950	1950	2018	68	TN	0	0.000000		-	-	-	-
Coffee	C0085952	2	2001	0	1962	2018	1960	1960	1960	2018	58	FN	58	1.000000	29.000000	0.500000	Gold_EMERGENCE	-	-
Coffee	C0009237	2	0	0	1960	2018	1960	1960	1960	2018	58	TN	0	0.000000		-	-	-	-
Cold	C0009264	3	0	0	1945	2018	1945	1945	1945	2018	73	TN	0	0.000000	36.000000	0.493151	-	-	-
Cold	C0024117	3	1998	1945	1959	2018	1945	1945	1945	2018	73	FP	53	0.726027		-	Gold_EMERGENCE	Predicted_EMERGENCE	-
Cold	C0009443	3	1945	2000	1945	2018	1945	1945	1945	2018	73	FP	55	0.753425		-	Gold_EMERGENCE	Predicted_EMERGENCE	-
Compliance	C0009563	2	0	1974	1974	2018	1974	1974	1974	2018	44	FP	44	1.000000	22.000000	0.500000	-	Predicted_EMERGENCE	-
Compliance	C1321605	2	0	0	1974	2018	1974	1974	1974	2018	44	TN	0	0.000000		-	-	-	-
Cortex	C0007776	2	0	0	1945	2018	1945	1945	1945	2018	73	TN	0	0.000000	36.500000	0.500000	-	-	-
Cortex	C0001614	2	1948	0	1950	2017	1945	1945	1945	2018	73	FN	73	1.000000		-	Gold_EMERGENCE	-	-
Cortical	C0022655	3	0	0	1947	2018	1945	1945	1945	2018	73	TN	0	0.000000	24.333333	0.333333	-	-	-
Cortical	C0001613	3	1945	0	1945	2018	1945	1945	1945	2018	73	FN	73	1.000000		-	Gold_EMERGENCE	-	-
Cortical	C0007776	3	0	0	1945	2018	1945	1945	1945	2018	73	TN	0	0.000000		-	-	-	-
Crack	C0085163	2	0	0	1990	2018	1986	1986	1986	2018	32	TN	0	0.000000	0.000000	0.000000	-	-	-
Crack	C0040441	2	0	0	1986	2018	1986	1986	1986	2018	32	TN	0	0.000000		-	-	-	-
DAT	C0114838	2	1989	0	1989	2018	1974	1974	1974	2018	44	FN	44	1.000000	22.000000	0.500000	Gold_EMERGENCE	-	-
DAT	C0002395	2	0	0	1974	2018	1974	1974	1974	2018	44	TN	0	0.000000		-	-	-	-
DBA	C1260899	2	1999	0	2001	2018	1974	1974	1972	2018	46	FN	46	1.000000	23.000000	0.500000	Gold_EMERGENCE	-	-
DBA	C0025923	2	0	0	1972	2018	1972	1972	1972	2018	46	TN	0	0.000000		-	-	-	-
DDD	C0011037	2	0	0	1962	2018	1963	1963	1962	2018	56	TN	0	0.000000	0.000000	0.000000	-	-	-
DDD	C0026256	2	0	0	1963	2018	1962	1962	1962	2018	56	TN	0	0.000000		-	-	-	-
DDS	C0950121	3	1999	0	2001	2017	1960	1960	1960	2018	58	FN	58	1.000000	21.666667	0.373563	Gold_EMERGENCE	-	-
DDS	C0085104	3	1988	1995	1990	2018	1964	1964	1960	2018	58	FP	7	0.120690		-	Gold_EMERGENCE	Predicted_EMERGENCE	-
DDS	C0010980	3	0	0	1960	2018	1960	1960	1960	2018	58	TN	0	0.000000		-	-	-	-
DE	C0017480	2	0	1945	1945	2018	1945	1945	1945	2018	73	FP	73	1.000000	36.500000	0.500000	-	Predicted_EMERGENCE	-
DE	C0011198	2	0	0	1945	2018	1945	1945	1945	2018	73	TN	0	0.000000		-	-	-	-
DI	C0032246	2	0	1978	1946	2018	1950	1950	1946	2018	72	FP	72	1.000000	36.000000	0.500000	-	Predicted_EMERGENCE	-
DI	C0011848	2	0	0	1946	2018	1946	1946	1946	2018	72	TN	0	0.000000		-	-	-	-
DON	C0028652	2	1979	0	1981	2018	1977	1977	1975	2018	43	FN	43	1.000000	21.500000	0.500000	Gold_EMERGENCE	-	-
DON	C0012020	2	0	0	1975	2018	1975	1975	1975	2018	43	TN	0	0.000000		-	-	-	-
Digestive	C0012238	2	0	0	1945	2018	1945	1945	1945	2018	73	TN	0	0.000000	0.000000	0.000000	-	-	-
Digestive	C0012240	2	0	0	1945	2018	1945	1945	1945	2018	73	TN	0	0.000000		-	-	-	-
EGG	C0029974	2	0	0	1945	2018	1945	1945	1945	2018	73	TN	0	0.000000	0.000000	0.000000	-	-	-
EGG	C0013710	2	0	0	1945	2018	1945	1945	1945	2018	73	TN	0	0.000000		-	-	-	-
EM	C0014921	2	1973	0	1975	2018	1946	1946	1946	2018	72	FN	72	1.000000	36.000000	0.500000	Gold_EMERGENCE	-	-
EM	C0026019	2	0	0	1946	2018	1946	1946	1946	2018	72	TN	0	0.000000		-	-	-	-
EMS	C0015063	2	1974	0	1975	2018	1968	1968	1967	2018	51	FN	51	1.000000	25.500000	0.500000	Gold_EMERGENCE	-	-
EMS	C0013961	2	0	0	1967	2018	1967	1967	1967	2018	51	TN	0	0.000000		-	-	-	-
ERP	C0008310	2	1978	0	1978	2018	1958	1958	1956	2018	62	FN	62	1.000000	31.000000	0.500000	Gold_EMERGENCE	-	-
ERP	C0015214	2	0	0	1956	2018	1956	1956	1956	2018	62	TN	0	0.000000		-	-	-	-
ERUPTION	C1533692	2	0	0	1945	2018	1945	1945	1945	2018	73	TN	0	0.000000	36.500000	0.500000	-	-	-
ERUPTION	C0015230	2	0	1945	1945	2018	1945	1945	1945	2018	73	FP	73	1.000000		-	-	Predicted_EMERGENCE	-
Eels	C0013671	2	0	0	1951	2018	1951	1951	1951	2018	67	TN	0	0.000000	33.500000	0.500000	-	-	-
Eels	C0677644	2	2003	0	2004	2017	1951	1951	1951	2018	67	FN	67	1.000000		-	Gold_EMERGENCE	-	-
Epi	C0014582	2	0	0	1980	2018	1945	1945	1945	2018	73	TN	0	0.000000	36.500000	0.500000	-	-	-
Epi	C0014563	2	0	1945	1945	2018	1945	1945	1945	2018	73	FP	73	1.000000		-	-	Predicted_EMERGENCE	-
Erythrocytes	C0014772	2	0	0	1945	2018	1945	1945	1945	2018	73	TN	0	0.000000	0.000000	0.000000	-	-	-
Erythrocytes	C0014792	2	0	0	1945	2018	1945	1945	1945	2018	73	TN	0	0.000000		-	-	-	-
Exercises	C0015259	2	0	0	1945	2018	1945	1945	1945	2018	73	TN	0	0.000000	0.000000	0.000000	-	-	-
Exercises	C0452240	2	0	0	1945	2018	1945	1945	1945	2018	73	TN	0	0.000000		-	-	-	-
FA	C0015625	2	0	0	1946	2018	1945	1945	1945	2018	73	TN	0	0.000000	0.000000	0.000000	-	-	-
FA	C0016410	2	0	0	1945	2018	1945	1945	1945	2018	73	TN	0	0.000000		-	-	-	-
FTC	C0206682	2	1992	0	1993	2018	1982	1982	1982	2018	36	FN	36	1.000000	18.000000	0.500000	Gold_EMERGENCE	-	-
FTC	C0041713	2	0	0	1982	2017	1982	1982	1982	2018	36	TN	0	0.000000		-	-	-	-
Fe	C0376520	2	1995	0	1946	2018	1945	1945	1945	2018	73	FN	73	1.000000	36.500000	0.500000	Gold_EMERGENCE	-	-
Fe	C0302583	2	0	0	1945	2018	1945	1945	1945	2018	73	TN	0	0.000000		-	-	-	-
Fish	C0162789	2	1990	0	1953	2018	1945	1945	1945	2018	73	FN	73	1.000000	36.500000	0.500000	Gold_EMERGENCE	-	-
Fish	C0016163	2	0	0	1945	2018	1945	1945	1945	2018	73	TN	0	0.000000		-	-	-	-
Follicle	C0221971	2	0	1949	1949	2018	1949	1949	1949	2018	69	FP	69	1.000000	34.500000	0.500000	-	Predicted_EMERGENCE	-
Follicle	C0018120	2	0	0	1949	2018	1949	1949	1949	2018	69	TN	0	0.000000		-	-	-	-
Follicles	C0018120	2	0	0	1949	2018	1949	1949	1949	2018	69	TN	0	0.000000	0.000000	0.000000	-	-	-
Follicles	C0221971	2	0	0	1949	2018	1949	1949	1949	2018	69	TN	0	0.000000		-	-	-	-
GAG	C0017973	2	0	0	1949	2018	1949	1949	1949	2018	69	TN	0	0.000000	1.500000	0.021739	-	-	-
GAG	C0017346	2	1988	1985	1982	2018	1949	1949	1949	2018	69	TP	3	0.043478		-	Gold_EMERGENCE	Predicted_EMERGENCE	MATCHED_Emergence
Ganglion	C0017067	2	1946	0	1946	2018	1946	1946	1946	2018	72	FN	72	1.000000	72.000000	1.000000	Gold_EMERGENCE	-	-
Ganglion	C1258666	2	2006	0	1946	2018	1946	1946	1946	2018	72	FN	72	1.000000		-	Gold_EMERGENCE	-	-
Gas	C0017110	2	0	0	1945	2018	1946	1946	1945	2018	73	TN	0	0.000000	36.500000	0.500000	-	-	-
Gas	C0016204	2	1945	0	1945	2018	1945	1945	1945	2018	73	FN	73	1.000000		-	Gold_EMERGENCE	-	-
Glycoside	C0017977	2	1946	0	1946	2018	1947	1947	1946	2018	72	FN	72	1.000000	36.000000	0.500000	Gold_EMERGENCE	-	-
Glycoside	C0007158	2	0	0	1946	2018	1946	1946	1946	2018	72	TN	0	0.000000		-	-	-	-
HCl	C0020259	2	0	0	1946	2018	1946	1946	1946	2018	72	TN	0	0.000000	36.000000	0.500000	-	-	-
HCl	C0023443	2	1975	0	1954	2018	1949	1949	1946	2018	72	FN	72	1.000000		-	Gold_EMERGENCE	-	-
HGF	C0062534	2	0	1984	1984	2018	1985	1985	1984	2018	34	FP	34	1.000000	17.000000	0.500000	-	Predicted_EMERGENCE	-
HGF	C0021760	2	0	0	1984	2018	1984	1984	1984	2018	34	TN	0	0.000000		-	-	-	-
HIV	C0019682	2	0	0	1985	2018	1985	1985	1985	2018	33	TN	0	0.000000	16.500000	0.500000	-	-	-
HIV	C0019693	2	1987	0	1987	2018	1985	1985	1985	2018	33	FN	33	1.000000		-	Gold_EMERGENCE	-	-
HPS	C0242994	2	0	0	1994	2018	1994	1994	1994	2018	24	TN	0	0.000000	0.000000	0.000000	-	-	-
HPS	C0079504	2	0	0	2000	2018	1994	1994	1994	2018	24	TN	0	0.000000		-	-	-	-
HR	C0018810	2	0	0	1947	2018	1947	1947	1947	2018	71	TN	0	0.000000	0.000000	0.000000	-	-	-
HR	C0010343	2	0	0	1950	2018	1947	1947	1947	2018	71	TN	0	0.000000		-	-	-	-
Haemophilus ducreyi	C0018481	2	0	1977	1978	2018	1978	1978	1977	2018	41	FP	41	1.000000	20.500000	0.500000	-	Predicted_EMERGENCE	-
Haemophilus ducreyi	C0007947	2	0	0	1977	2018	1977	1977	1977	2018	41	TN	0	0.000000		-	-	-	-
Hemlock	C0242872	2	2004	0	2002	2017	2002	2002	2002	2018	16	FN	16	1.000000	8.000000	0.500000	Gold_EMERGENCE	-	-
Hemlock	C0949851	2	0	0	2002	2018	2002	2002	2002	2018	16	TN	0	0.000000		-	-	-	-
Heregulin	C0752253	2	0	0	1992	2018	1992	1992	1992	2018	26	TN	0	0.000000	13.000000	0.500000	-	-	-
Heregulin	C0626201	2	0	1992	1994	2018	1992	1992	1992	2018	26	FP	26	1.000000		-	-	Predicted_EMERGENCE	-
Hip	C0022122	2	0	1974	1947	2018	1951	1951	1946	2018	72	FP	72	1.000000	36.000000	0.500000	-	Predicted_EMERGENCE	-
Hip	C0019552	2	0	0	1946	2018	1946	1946	1946	2018	72	TN	0	0.000000		-	-	-	-
IA	C0021487	2	1946	0	1946	2018	1946	1946	1946	2018	72	FN	72	1.000000	36.000000	0.500000	Gold_EMERGENCE	-	-
IA	C0022037	2	0	0	1946	2018	1946	1946	1946	2018	72	TN	0	0.000000		-	-	-	-
INDO	C0021246	2	1961	1960	1963	2018	1954	1954	1949	2018	69	TP	1	0.014493	0.500000	0.007247	Gold_EMERGENCE	Predicted_EMERGENCE	MATCHED_Emergence
INDO	C0021247	2	0	0	1949	2018	1949	1949	1949	2018	69	TN	0	0.000000		-	-	-	-
IP	C0021171	2	0	0	1986	2018	1986	1986	1986	2018	32	TN	0	0.000000	0.000000	0.000000	-	-	-
IP	C0021069	2	2000	2000	1989	2018	1986	1986	1986	2018	32	TP	0	0.000000		-	Gold_EMERGENCE	Predicted_EMERGENCE	MATCHED_Emergence
Ice	C0025611	3	0	0	1946	2018	1947	1947	1946	2018	72	TN	0	0.000000	0.666667	0.009259	-	-	-
Ice	C0020746	3	0	0	1946	2018	1946	1946	1946	2018	72	TN	0	0.000000		-	-	-	-
Ice	C0534519	3	1990	1992	1991	2018	1948	1948	1946	2018	72	TP	2	0.027778		-	Gold_EMERGENCE	Predicted_EMERGENCE	MATCHED_Emergence
Ion	C0022023	2	0	0	1945	2018	1945	1945	1945	2018	73	TN	0	0.000000	36.500000	0.500000	-	-	-
Ion	C0022024	2	1945	0	1946	2018	1945	1945	1945	2018	73	FN	73	1.000000		-	Gold_EMERGENCE	-	-
Iris	C1001362	2	0	0	1946	2018	1946	1946	1945	2018	73	TN	0	0.000000	0.000000	0.000000	-	-	-
Iris	C0022077	2	0	0	1945	2018	1945	1945	1945	2018	73	TN	0	0.000000		-	-	-	-
JP	C0031106	2	1946	0	1947	2018	1947	1947	1946	2018	72	FN	72	1.000000	36.000000	0.500000	Gold_EMERGENCE	-	-
JP	C0022341	2	0	0	1946	2018	1946	1946	1946	2018	72	TN	0	0.000000		-	-	-	-
LABOR	C0043227	2	0	0	1945	2018	1945	1945	1945	2018	73	TN	0	0.000000	36.500000	0.500000	-	-	-
LABOR	C0022864	2	1945	0	1945	2018	1945	1945	1945	2018	73	FN	73	1.000000		-	Gold_EMERGENCE	-	-
Lactation	C0022925	2	0	0	1945	2018	1945	1945	1945	2018	73	TN	0	0.000000	0.000000	0.000000	-	-	-
Lactation	C0006147	2	0	0	1945	2018	1945	1945	1945	2018	73	TN	0	0.000000		-	-	-	-
Language	C0023008	2	0	0	1946	2018	1946	1946	1946	2018	72	TN	0	0.000000	36.000000	0.500000	-	-	-
Language	C0033348	2	1986	0	1958	2018	1946	1946	1946	2018	72	FN	72	1.000000		-	Gold_EMERGENCE	-	-
Laryngeal	C0023081	2	0	0	1945	2018	1945	1945	1945	2018	73	TN	0	0.000000	0.000000	0.000000	-	-	-
Laryngeal	C0023078	2	0	0	1945	2018	1945	1945	1945	2018	73	TN	0	0.000000		-	-	-	-
Lawsonia	C1068388	2	0	0	2002	2018	2000	2000	2000	2018	18	TN	0	0.000000	0.000000	0.000000	-	-	-
Lawsonia	C0752045	2	0	0	2000	2018	2000	2000	2000	2018	18	TN	0	0.000000		-	-	-	-
Leishmaniasis	C1548483	2	2005	0	1947	2018	1945	1945	1945	2018	73	FN	73	1.000000	73.000000	1.000000	Gold_EMERGENCE	-	-
Leishmaniasis	C0023281	2	0	1945	1945	2018	1945	1945	1945	2018	73	FP	73	1.000000		-	-	Predicted_EMERGENCE	-
Lupus	C0024131	3	0	0	1945	2018	1945	1945	1945	2018	73	TN	0	0.000000	3.666667	0.050228	-	-	-
Lupus	C0024141	3	0	0	1945	2018	1945	1945	1945	2018	73	TN	0	0.000000		-	-	-	-
Lupus	C0024138	3	1945	1956	1946	2018	1949	1949	1945	2018	73	FP	11	0.150685		-	Gold_EMERGENCE	Predicted_EMERGENCE	-
MAF	C0079786	2	0	0	1980	2018	1980	1980	1980	2018	38	TN	0	0.000000	19.000000	0.500000	-	-	-
MAF	C0919482	2	2001	0	1998	2018	1980	1980	1980	2018	38	FN	38	1.000000		-	Gold_EMERGENCE	-	-
MBP	C0014063	2	0	0	1973	2018	1973	1973	1973	2018	45	TN	0	0.000000	0.000000	0.000000	-	-	-
MBP	C0065661	2	1999	1999	1984	2018	1975	1975	1973	2018	45	TP	0	0.000000		-	Gold_EMERGENCE	Predicted_EMERGENCE	MATCHED_Emergence
MCC	C0007129	2	0	0	1988	2018	1988	1988	1988	2018	30	TN	0	0.000000	15.000000	0.500000	-	-	-
MCC	C0162804	2	1990	0	1991	2014	1988	1988	1988	2018	30	FN	30	1.000000		-	Gold_EMERGENCE	-	-
MHC	C0027100	2	0	0	1986	2018	1978	1978	1978	2018	40	TN	0	0.000000	0.000000	0.000000	-	-	-
MHC	C0024518	2	0	0	1978	2018	1978	1978	1978	2018	40	TN	0	0.000000		-	-	-	-
MRS	C0025235	2	0	0	1950	2018	1950	1950	1950	2018	68	TN	0	0.000000	34.000000	0.500000	-	-	-
MRS	C0024487	2	0	1953	1961	2018	1950	1950	1950	2018	68	FP	68	1.000000		-	-	Predicted_EMERGENCE	-
Malaria	C0206255	2	1991	0	1945	2018	1945	1945	1945	2018	73	FN	73	1.000000	36.500000	0.500000	Gold_EMERGENCE	-	-
Malaria	C0024530	2	0	0	1945	2018	1945	1945	1945	2018	73	TN	0	0.000000		-	-	-	-
Medullary	C0001629	2	0	0	1946	2018	1946	1946	1946	2018	72	TN	0	0.000000	0.000000	0.000000	-	-	-
Medullary	C0025148	2	0	0	1947	2018	1947	1947	1946	2018	72	TN	0	0.000000		-	-	-	-
Milk	C0026131	2	0	0	1945	2018	1945	1945	1945	2018	73	TN	0	0.000000	0.000000	0.000000	-	-	-
Milk	C0026140	2	0	0	1945	2018	1945	1945	1945	2018	73	TN	0	0.000000		-	-	-	-
Moles	C0324740	2	0	0	1946	2018	1947	1947	1946	2018	72	TN	0	0.000000	0.000000	0.000000	-	-	-
Moles	C0027960	2	0	0	1946	2018	1946	1946	1946	2018	72	TN	0	0.000000		-	-	-	-
NBS	C0027819	2	0	1966	1947	2018	1948	1948	1947	2018	71	FP	71	1.000000	71.000000	1.000000	-	Predicted_EMERGENCE	-
NBS	C0398791	2	2003	0	2002	2017	1947	1947	1947	2018	71	FN	71	1.000000		-	Gold_EMERGENCE	-	-
