WSD_INFORMATION	CUI	NUM_SENSES	GOLD_EMERGENCE_YEAR	PREDICTED_EMERGENCE_YEAR	MinYearGoldSENSEdata	MaxYearGoldSENSEdata	MinYearPredictedSENSEdata	MaxYearPredictedSENSEdata	StartGoldData	EndGoldData	GoldYearRange	EvalStatus	IndivError	NormalisedError	IndivByTargets	NotmalisedBytargets	GoldEMERGENCEstatus	PredictedEMERGENCEstatus	GoldPredEMERGENCE
Astragalus	C0039277	2	0	1947	1947	2018	1947	1947	1947	2018	71	FP	71	1.000000	35.500000	0.500000	-	Predicted_EMERGENCE	-
Astragalus	C0330845	2	0	0	1947	2018	1947	1947	1947	2018	71	TN	0	0.000000		-	-	-	-
B-Cell Leukemia	C0023434	2	0	0	1986	2018	1986	1986	1986	2018	32	TN	0	0.000000	0.000000	0.000000	-	-	-
B-Cell Leukemia	C2004493	2	0	0	1988	2018	1986	1986	1986	2018	32	TN	0	0.000000		-	-	-	-
BAT	C0006298	2	0	0	1949	2018	1946	1946	1946	2018	72	TN	0	0.000000	0.000000	0.000000	-	-	-
BAT	C0008139	2	0	0	1946	2018	1946	1946	1946	2018	72	TN	0	0.000000		-	-	-	-
BLM	C0005740	2	0	0	1971	2018	1971	1971	1971	2018	47	TN	0	0.000000	23.500000	0.500000	-	-	-
BLM	C0005859	2	0	1971	1981	2018	1971	1971	1971	2018	47	FP	47	1.000000		-	-	Predicted_EMERGENCE	-
BPD	C0006012	2	0	0	1980	2018	1980	1980	1980	2018	38	TN	0	0.000000	19.000000	0.500000	-	-	-
BPD	C0006287	2	1980	0	1981	2018	1980	1980	1980	2018	38	FN	38	1.000000		-	Gold_EMERGENCE	-	-
BR	C0006137	2	0	0	1946	2018	1946	1946	1946	2018	72	TN	0	0.000000	0.000000	0.000000	-	-	-
BR	C0006222	2	0	0	1946	2018	1946	1946	1946	2018	72	TN	0	0.000000		-	-	-	-
BSA	C0036774	2	0	0	1952	2018	1952	1952	1952	2018	66	TN	0	0.000000	0.000000	0.000000	-	-	-
BSA	C0005902	2	0	0	1952	2018	1952	1952	1952	2018	66	TN	0	0.000000		-	-	-	-
BSE	C0085209	2	1991	0	1991	2018	1991	1991	1991	2018	27	FN	27	1.000000	13.500000	0.500000	Gold_EMERGENCE	-	-
BSE	C0085105	2	0	0	1991	2018	1991	1991	1991	2018	27	TN	0	0.000000		-	-	-	-
Borrelia	C0006033	2	0	0	1979	2018	1979	1979	1979	2018	39	TN	0	0.000000	0.000000	0.000000	-	-	-
Borrelia	C0024198	2	0	0	1983	2018	1979	1979	1979	2018	39	TN	0	0.000000		-	-	-	-
Brucella abortus	C0006304	2	0	0	1946	2018	1946	1946	1946	2018	72	TN	0	0.000000	0.000000	0.000000	-	-	-
Brucella abortus	C0302363	2	0	0	1946	2018	1946	1946	1946	2018	72	TN	0	0.000000		-	-	-	-
CAD	C1956346	2	1983	1983	1985	2018	1983	1983	1983	2018	35	TP	0	0.000000	0.000000	0.000000	Gold_EMERGENCE	Predicted_EMERGENCE	MATCHED_Emergence
CAD	C0011905	2	0	0	1983	2018	1983	1983	1983	2018	35	TN	0	0.000000		-	-	-	-
CAM	C0007578	2	0	0	1981	2018	1981	1981	1981	2018	37	TN	0	0.000000	10.500000	0.283784	-	-	-
CAM	C0178551	2	2002	1981	2003	2018	1981	1981	1981	2018	37	TP	21	0.567568		-	Gold_EMERGENCE	Predicted_EMERGENCE	MATCHED_Emergence
CCD	C0751951	2	1997	0	1965	2017	1965	1965	1965	2018	53	FN	53	1.000000	53.000000	1.000000	Gold_EMERGENCE	-	-
CCD	C0008928	2	0	1965	1965	2018	1965	1965	1965	2018	53	FP	53	1.000000		-	-	Predicted_EMERGENCE	-
CCl4	C0209338	2	1994	0	1991	2018	1946	1946	1946	2018	72	FN	72	1.000000	72.000000	1.000000	Gold_EMERGENCE	-	-
CCl4	C0007022	2	0	1946	1946	2018	1946	1946	1946	2018	72	FP	72	1.000000		-	-	Predicted_EMERGENCE	-
CDA	C0092801	2	1982	0	1983	2018	1979	1979	1979	2018	39	FN	39	1.000000	19.500000	0.500000	Gold_EMERGENCE	-	-
CDA	C0002876	2	0	0	1979	2018	1979	1979	1979	2018	39	TN	0	0.000000		-	-	-	-
CDR	C0011485	2	0	0	1973	2018	1973	1973	1973	2018	45	TN	0	0.000000	0.000000	0.000000	-	-	-
CDR	C0021024	2	0	0	1998	2018	1973	1973	1973	2018	45	TN	0	0.000000		-	-	-	-
CH	C0039021	2	1946	1946	1946	2018	1946	1946	1946	2018	72	TP	0	0.000000	0.000000	0.000000	Gold_EMERGENCE	Predicted_EMERGENCE	MATCHED_Emergence
CH	C0008115	2	0	0	1946	2018	1946	1946	1946	2018	72	TN	0	0.000000		-	-	-	-
CI	C0008107	2	0	0	1949	2018	1949	1949	1949	2018	69	TN	0	0.000000	34.500000	0.500000	-	-	-
CI	C0022326	2	0	1949	1951	2018	1949	1949	1949	2018	69	FP	69	1.000000		-	-	Predicted_EMERGENCE	-
CIS	C0007099	2	0	0	1972	2018	1972	1972	1972	2018	46	TN	0	0.000000	23.000000	0.500000	-	-	-
CIS	C0162854	2	1991	0	1992	2018	1972	1972	1972	2018	46	FN	46	1.000000		-	Gold_EMERGENCE	-	-
CLS	C0265252	2	0	0	2002	2018	1996	1996	1996	2018	22	TN	0	0.000000	0.000000	0.000000	-	-	-
CLS	C0343084	2	0	0	1996	2018	1996	1996	1996	2018	22	TN	0	0.000000		-	-	-	-
CP	C0008925	3	0	0	1946	2018	1946	1946	1946	2018	72	TN	0	0.000000	8.333333	0.115741	-	-	-
CP	C0033477	3	1971	1946	1946	2018	1946	1946	1946	2018	72	TP	25	0.347222		-	Gold_EMERGENCE	Predicted_EMERGENCE	MATCHED_Emergence
CP	C0007789	3	0	0	1946	2018	1946	1946	1946	2018	72	TN	0	0.000000		-	-	-	-
CPDD	C0553730	2	0	0	1971	2018	1971	1971	1971	2018	47	TN	0	0.000000	0.000000	0.000000	-	-	-
CPDD	C0008838	2	1971	1971	1972	2018	1971	1971	1971	2018	47	TP	0	0.000000		-	Gold_EMERGENCE	Predicted_EMERGENCE	MATCHED_Emergence
CRF	C0010132	2	0	0	1956	2018	1954	1954	1954	2018	64	TN	0	0.000000	0.000000	0.000000	-	-	-
CRF	C0022661	2	0	0	1954	2018	1954	1954	1954	2018	64	TN	0	0.000000		-	-	-	-
CTX	C0238052	2	1997	1960	1974	2018	1960	1960	1960	2018	58	TP	37	0.637931	18.500000	0.318966	Gold_EMERGENCE	Predicted_EMERGENCE	MATCHED_Emergence
CTX	C0010583	2	0	0	1960	2018	1960	1960	1960	2018	58	TN	0	0.000000		-	-	-	-
Ca	C0006823	3	0	0	1945	2018	1945	1945	1945	2018	73	TN	0	0.000000	24.333333	0.333333	-	-	-
Ca	C0006754	3	1945	0	1945	2018	1945	1945	1945	2018	73	FN	73	1.000000		-	Gold_EMERGENCE	-	-
Ca	C0006675	3	0	0	1945	2018	1945	1945	1945	2018	73	TN	0	0.000000		-	-	-	-
Callus	C0376154	2	0	0	1972	2018	1972	1972	1972	2018	46	TN	0	0.000000	0.000000	0.000000	-	-	-
Callus	C0006767	2	0	0	1972	2018	1972	1972	1972	2018	46	TN	0	0.000000		-	-	-	-
Cell	C0007634	2	0	0	1969	2018	1969	1969	1969	2018	49	TN	0	0.000000	20.500000	0.418368	-	-	-
Cell	C1136359	2	2010	1969	1999	2018	1969	1969	1969	2018	49	TP	41	0.836735		-	Gold_EMERGENCE	Predicted_EMERGENCE	MATCHED_Emergence
Cement	C1706094	2	0	0	1957	2018	1957	1957	1957	2018	61	TN	0	0.000000	0.000000	0.000000	-	-	-
Cement	C0011343	2	0	0	1957	2018	1957	1957	1957	2018	61	TN	0	0.000000		-	-	-	-
Cholera	C0008354	2	0	0	1945	2018	1945	1945	1945	2018	73	TN	0	0.000000	0.000000	0.000000	-	-	-
Cholera	C0008359	2	0	0	1946	2018	1945	1945	1945	2018	73	TN	0	0.000000		-	-	-	-
Cilia	C0015422	2	0	0	1950	2018	1950	1950	1950	2018	68	TN	0	0.000000	0.000000	0.000000	-	-	-
Cilia	C0008778	2	0	0	1950	2018	1950	1950	1950	2018	68	TN	0	0.000000		-	-	-	-
Coffee	C0009237	2	0	0	1960	2018	1960	1960	1960	2018	58	TN	0	0.000000	29.000000	0.500000	-	-	-
Coffee	C0085952	2	2001	0	1962	2018	1960	1960	1960	2018	58	FN	58	1.000000		-	Gold_EMERGENCE	-	-
Cold	C0024117	3	1998	0	1959	2018	1945	1945	1945	2018	73	FN	73	1.000000	73.000000	1.000000	Gold_EMERGENCE	-	-
Cold	C0009443	3	1945	0	1945	2018	1945	1945	1945	2018	73	FN	73	1.000000		-	Gold_EMERGENCE	-	-
Cold	C0009264	3	0	1945	1945	2018	1945	1945	1945	2018	73	FP	73	1.000000		-	-	Predicted_EMERGENCE	-
Compliance	C0009563	2	0	0	1974	2018	1974	1974	1974	2018	44	TN	0	0.000000	0.000000	0.000000	-	-	-
Compliance	C1321605	2	0	0	1974	2018	1974	1974	1974	2018	44	TN	0	0.000000		-	-	-	-
Cortex	C0007776	2	0	0	1945	2018	1945	1945	1945	2018	73	TN	0	0.000000	36.500000	0.500000	-	-	-
Cortex	C0001614	2	1948	0	1950	2017	1945	1945	1945	2018	73	FN	73	1.000000		-	Gold_EMERGENCE	-	-
Cortical	C0001613	3	1945	0	1945	2018	1945	1945	1945	2018	73	FN	73	1.000000	24.333333	0.333333	Gold_EMERGENCE	-	-
Cortical	C0007776	3	0	0	1945	2018	1945	1945	1945	2018	73	TN	0	0.000000		-	-	-	-
Cortical	C0022655	3	0	0	1947	2018	1945	1945	1945	2018	73	TN	0	0.000000		-	-	-	-
Crack	C0040441	2	0	0	1986	2018	1986	1986	1986	2018	32	TN	0	0.000000	0.000000	0.000000	-	-	-
Crack	C0085163	2	0	0	1990	2018	1986	1986	1986	2018	32	TN	0	0.000000		-	-	-	-
DAT	C0114838	2	1989	0	1989	2018	1974	1974	1974	2018	44	FN	44	1.000000	44.000000	1.000000	Gold_EMERGENCE	-	-
DAT	C0002395	2	0	1974	1974	2018	1974	1974	1974	2018	44	FP	44	1.000000		-	-	Predicted_EMERGENCE	-
DBA	C1260899	2	1999	0	2001	2018	1972	1972	1972	2018	46	FN	46	1.000000	46.000000	1.000000	Gold_EMERGENCE	-	-
DBA	C0025923	2	0	1972	1972	2018	1972	1972	1972	2018	46	FP	46	1.000000		-	-	Predicted_EMERGENCE	-
DDD	C0026256	2	0	0	1963	2018	1962	1962	1962	2018	56	TN	0	0.000000	28.000000	0.500000	-	-	-
DDD	C0011037	2	0	1962	1962	2018	1962	1962	1962	2018	56	FP	56	1.000000		-	-	Predicted_EMERGENCE	-
DDS	C0010980	3	0	0	1960	2018	1960	1960	1960	2018	58	TN	0	0.000000	38.666667	0.666667	-	-	-
DDS	C0085104	3	1988	0	1990	2018	1960	1960	1960	2018	58	FN	58	1.000000		-	Gold_EMERGENCE	-	-
DDS	C0950121	3	1999	0	2001	2017	1960	1960	1960	2018	58	FN	58	1.000000		-	Gold_EMERGENCE	-	-
DE	C0017480	2	0	0	1945	2018	1945	1945	1945	2018	73	TN	0	0.000000	0.000000	0.000000	-	-	-
DE	C0011198	2	0	0	1945	2018	1945	1945	1945	2018	73	TN	0	0.000000		-	-	-	-
DI	C0032246	2	0	0	1946	2018	1946	1946	1946	2018	72	TN	0	0.000000	0.000000	0.000000	-	-	-
DI	C0011848	2	0	0	1946	2018	1946	1946	1946	2018	72	TN	0	0.000000		-	-	-	-
DON	C0012020	2	0	0	1975	2018	1975	1975	1975	2018	43	TN	0	0.000000	21.500000	0.500000	-	-	-
DON	C0028652	2	1979	0	1981	2018	1975	1975	1975	2018	43	FN	43	1.000000		-	Gold_EMERGENCE	-	-
Digestive	C0012238	2	0	0	1945	2018	1945	1945	1945	2018	73	TN	0	0.000000	0.000000	0.000000	-	-	-
Digestive	C0012240	2	0	0	1945	2018	1945	1945	1945	2018	73	TN	0	0.000000		-	-	-	-
EGG	C0013710	2	0	0	1945	2018	1945	1945	1945	2018	73	TN	0	0.000000	0.000000	0.000000	-	-	-
EGG	C0029974	2	0	0	1945	2018	1945	1945	1945	2018	73	TN	0	0.000000		-	-	-	-
EM	C0014921	2	1973	0	1975	2018	1946	1946	1946	2018	72	FN	72	1.000000	72.000000	1.000000	Gold_EMERGENCE	-	-
EM	C0026019	2	0	1946	1946	2018	1946	1946	1946	2018	72	FP	72	1.000000		-	-	Predicted_EMERGENCE	-
EMS	C0013961	2	0	1967	1967	2018	1967	1967	1967	2018	51	FP	51	1.000000	51.000000	1.000000	-	Predicted_EMERGENCE	-
EMS	C0015063	2	1974	0	1975	2018	1967	1967	1967	2018	51	FN	51	1.000000		-	Gold_EMERGENCE	-	-
ERP	C0008310	2	1978	0	1978	2018	1956	1956	1956	2018	62	FN	62	1.000000	31.000000	0.500000	Gold_EMERGENCE	-	-
ERP	C0015214	2	0	0	1956	2018	1956	1956	1956	2018	62	TN	0	0.000000		-	-	-	-
ERUPTION	C1533692	2	0	0	1945	2018	1945	1945	1945	2018	73	TN	0	0.000000	0.000000	0.000000	-	-	-
ERUPTION	C0015230	2	0	0	1945	2018	1945	1945	1945	2018	73	TN	0	0.000000		-	-	-	-
Eels	C0013671	2	0	0	1951	2018	1951	1951	1951	2018	67	TN	0	0.000000	26.000000	0.388060	-	-	-
Eels	C0677644	2	2003	1951	2004	2017	1951	1951	1951	2018	67	TP	52	0.776119		-	Gold_EMERGENCE	Predicted_EMERGENCE	MATCHED_Emergence
Epi	C0014563	2	0	0	1945	2018	1945	1945	1945	2018	73	TN	0	0.000000	0.000000	0.000000	-	-	-
Epi	C0014582	2	0	0	1980	2018	1945	1945	1945	2018	73	TN	0	0.000000		-	-	-	-
Erythrocytes	C0014792	2	0	0	1945	2018	1945	1945	1945	2018	73	TN	0	0.000000	0.000000	0.000000	-	-	-
Erythrocytes	C0014772	2	0	0	1945	2018	1945	1945	1945	2018	73	TN	0	0.000000		-	-	-	-
Exercises	C0015259	2	0	0	1945	2018	1945	1945	1945	2018	73	TN	0	0.000000	36.500000	0.500000	-	-	-
Exercises	C0452240	2	0	1945	1945	2018	1945	1945	1945	2018	73	FP	73	1.000000		-	-	Predicted_EMERGENCE	-
FA	C0016410	2	0	0	1945	2018	1945	1945	1945	2018	73	TN	0	0.000000	36.500000	0.500000	-	-	-
FA	C0015625	2	0	1945	1946	2018	1945	1945	1945	2018	73	FP	73	1.000000		-	-	Predicted_EMERGENCE	-
FTC	C0206682	2	1992	0	1993	2018	1982	1982	1982	2018	36	FN	36	1.000000	18.000000	0.500000	Gold_EMERGENCE	-	-
FTC	C0041713	2	0	0	1982	2017	1982	1982	1982	2018	36	TN	0	0.000000		-	-	-	-
Fe	C0376520	2	1995	0	1946	2018	1945	1945	1945	2018	73	FN	73	1.000000	36.500000	0.500000	Gold_EMERGENCE	-	-
Fe	C0302583	2	0	0	1945	2018	1945	1945	1945	2018	73	TN	0	0.000000		-	-	-	-
Fish	C0016163	2	0	0	1945	2018	1945	1945	1945	2018	73	TN	0	0.000000	36.500000	0.500000	-	-	-
Fish	C0162789	2	1990	0	1953	2018	1945	1945	1945	2018	73	FN	73	1.000000		-	Gold_EMERGENCE	-	-
Follicle	C0018120	2	0	0	1949	2018	1949	1949	1949	2018	69	TN	0	0.000000	0.000000	0.000000	-	-	-
Follicle	C0221971	2	0	0	1949	2018	1949	1949	1949	2018	69	TN	0	0.000000		-	-	-	-
Follicles	C0018120	2	0	0	1949	2018	1949	1949	1949	2018	69	TN	0	0.000000	0.000000	0.000000	-	-	-
Follicles	C0221971	2	0	0	1949	2018	1949	1949	1949	2018	69	TN	0	0.000000		-	-	-	-
GAG	C0017973	2	0	0	1949	2018	1949	1949	1949	2018	69	TN	0	0.000000	19.500000	0.282608	-	-	-
GAG	C0017346	2	1988	1949	1982	2018	1949	1949	1949	2018	69	TP	39	0.565217		-	Gold_EMERGENCE	Predicted_EMERGENCE	MATCHED_Emergence
Ganglion	C1258666	2	2006	0	1946	2018	1946	1946	1946	2018	72	FN	72	1.000000	36.000000	0.500000	Gold_EMERGENCE	-	-
Ganglion	C0017067	2	1946	1946	1946	2018	1946	1946	1946	2018	72	TP	0	0.000000		-	Gold_EMERGENCE	Predicted_EMERGENCE	MATCHED_Emergence
Gas	C0017110	2	0	0	1945	2018	1945	1945	1945	2018	73	TN	0	0.000000	36.500000	0.500000	-	-	-
Gas	C0016204	2	1945	0	1945	2018	1945	1945	1945	2018	73	FN	73	1.000000		-	Gold_EMERGENCE	-	-
Glycoside	C0007158	2	0	0	1946	2018	1946	1946	1946	2018	72	TN	0	0.000000	36.000000	0.500000	-	-	-
Glycoside	C0017977	2	1946	0	1946	2018	1946	1946	1946	2018	72	FN	72	1.000000		-	Gold_EMERGENCE	-	-
HCl	C0023443	2	1975	0	1954	2018	1946	1946	1946	2018	72	FN	72	1.000000	36.000000	0.500000	Gold_EMERGENCE	-	-
HCl	C0020259	2	0	0	1946	2018	1946	1946	1946	2018	72	TN	0	0.000000		-	-	-	-
HGF	C0062534	2	0	0	1984	2018	1984	1984	1984	2018	34	TN	0	0.000000	17.000000	0.500000	-	-	-
HGF	C0021760	2	0	1984	1984	2018	1984	1984	1984	2018	34	FP	34	1.000000		-	-	Predicted_EMERGENCE	-
HIV	C0019693	2	1987	0	1987	2018	1985	1985	1985	2018	33	FN	33	1.000000	16.500000	0.500000	Gold_EMERGENCE	-	-
HIV	C0019682	2	0	0	1985	2018	1985	1985	1985	2018	33	TN	0	0.000000		-	-	-	-
HPS	C0079504	2	0	0	2000	2018	1994	1994	1994	2018	24	TN	0	0.000000	0.000000	0.000000	-	-	-
HPS	C0242994	2	0	0	1994	2018	1994	1994	1994	2018	24	TN	0	0.000000		-	-	-	-
HR	C0018810	2	0	0	1947	2018	1947	1947	1947	2018	71	TN	0	0.000000	0.000000	0.000000	-	-	-
HR	C0010343	2	0	0	1950	2018	1947	1947	1947	2018	71	TN	0	0.000000		-	-	-	-
Haemophilus ducreyi	C0007947	2	0	0	1977	2018	1977	1977	1977	2018	41	TN	0	0.000000	0.000000	0.000000	-	-	-
Haemophilus ducreyi	C0018481	2	0	0	1978	2018	1977	1977	1977	2018	41	TN	0	0.000000		-	-	-	-
Hemlock	C0949851	2	0	0	2002	2018	2002	2002	2002	2018	16	TN	0	0.000000	8.000000	0.500000	-	-	-
Hemlock	C0242872	2	2004	0	2002	2017	2002	2002	2002	2018	16	FN	16	1.000000		-	Gold_EMERGENCE	-	-
Heregulin	C0626201	2	0	1992	1994	2018	1992	1992	1992	2018	26	FP	26	1.000000	13.000000	0.500000	-	Predicted_EMERGENCE	-
Heregulin	C0752253	2	0	0	1992	2018	1992	1992	1992	2018	26	TN	0	0.000000		-	-	-	-
Hip	C0019552	2	0	0	1946	2018	1946	1946	1946	2018	72	TN	0	0.000000	0.000000	0.000000	-	-	-
Hip	C0022122	2	0	0	1947	2018	1946	1946	1946	2018	72	TN	0	0.000000		-	-	-	-
IA	C0021487	2	1946	0	1946	2018	1946	1946	1946	2018	72	FN	72	1.000000	72.000000	1.000000	Gold_EMERGENCE	-	-
IA	C0022037	2	0	1946	1946	2018	1946	1946	1946	2018	72	FP	72	1.000000		-	-	Predicted_EMERGENCE	-
INDO	C0021247	2	0	0	1949	2018	1949	1949	1949	2018	69	TN	0	0.000000	6.000000	0.086957	-	-	-
INDO	C0021246	2	1961	1949	1963	2018	1949	1949	1949	2018	69	TP	12	0.173913		-	Gold_EMERGENCE	Predicted_EMERGENCE	MATCHED_Emergence
IP	C0021171	2	0	0	1986	2018	1986	1986	1986	2018	32	TN	0	0.000000	16.000000	0.500000	-	-	-
IP	C0021069	2	2000	0	1989	2018	1986	1986	1986	2018	32	FN	32	1.000000		-	Gold_EMERGENCE	-	-
Ice	C0025611	3	0	0	1946	2018	1946	1946	1946	2018	72	TN	0	0.000000	14.666667	0.203704	-	-	-
Ice	C0534519	3	1990	1946	1991	2018	1946	1946	1946	2018	72	TP	44	0.611111		-	Gold_EMERGENCE	Predicted_EMERGENCE	MATCHED_Emergence
Ice	C0020746	3	0	0	1946	2018	1946	1946	1946	2018	72	TN	0	0.000000		-	-	-	-
Ion	C0022024	2	1945	0	1946	2018	1945	1945	1945	2018	73	FN	73	1.000000	73.000000	1.000000	Gold_EMERGENCE	-	-
Ion	C0022023	2	0	1945	1945	2018	1945	1945	1945	2018	73	FP	73	1.000000		-	-	Predicted_EMERGENCE	-
Iris	C0022077	2	0	0	1945	2018	1945	1945	1945	2018	73	TN	0	0.000000	0.000000	0.000000	-	-	-
Iris	C1001362	2	0	0	1946	2018	1945	1945	1945	2018	73	TN	0	0.000000		-	-	-	-
JP	C0022341	2	0	0	1946	2018	1946	1946	1946	2018	72	TN	0	0.000000	36.000000	0.500000	-	-	-
JP	C0031106	2	1946	0	1947	2018	1946	1946	1946	2018	72	FN	72	1.000000		-	Gold_EMERGENCE	-	-
LABOR	C0043227	2	0	0	1945	2018	1945	1945	1945	2018	73	TN	0	0.000000	36.500000	0.500000	-	-	-
LABOR	C0022864	2	1945	0	1945	2018	1945	1945	1945	2018	73	FN	73	1.000000		-	Gold_EMERGENCE	-	-
Lactation	C0006147	2	0	0	1945	2018	1945	1945	1945	2018	73	TN	0	0.000000	0.000000	0.000000	-	-	-
Lactation	C0022925	2	0	0	1945	2018	1945	1945	1945	2018	73	TN	0	0.000000		-	-	-	-
Language	C0023008	2	0	0	1946	2018	1946	1946	1946	2018	72	TN	0	0.000000	36.000000	0.500000	-	-	-
Language	C0033348	2	1986	0	1958	2018	1946	1946	1946	2018	72	FN	72	1.000000		-	Gold_EMERGENCE	-	-
Laryngeal	C0023078	2	0	0	1945	2018	1945	1945	1945	2018	73	TN	0	0.000000	36.500000	0.500000	-	-	-
Laryngeal	C0023081	2	0	1945	1945	2018	1945	1945	1945	2018	73	FP	73	1.000000		-	-	Predicted_EMERGENCE	-
Lawsonia	C0752045	2	0	0	2000	2018	2000	2000	2000	2018	18	TN	0	0.000000	0.000000	0.000000	-	-	-
Lawsonia	C1068388	2	0	0	2002	2018	2000	2000	2000	2018	18	TN	0	0.000000		-	-	-	-
Leishmaniasis	C1548483	2	2005	0	1947	2018	1945	1945	1945	2018	73	FN	73	1.000000	36.500000	0.500000	Gold_EMERGENCE	-	-
Leishmaniasis	C0023281	2	0	0	1945	2018	1945	1945	1945	2018	73	TN	0	0.000000		-	-	-	-
Lupus	C0024141	3	0	0	1945	2018	1945	1945	1945	2018	73	TN	0	0.000000	48.666667	0.666667	-	-	-
Lupus	C0024131	3	0	1945	1945	2018	1945	1945	1945	2018	73	FP	73	1.000000		-	-	Predicted_EMERGENCE	-
Lupus	C0024138	3	1945	0	1946	2018	1945	1945	1945	2018	73	FN	73	1.000000		-	Gold_EMERGENCE	-	-
MAF	C0919482	2	2001	0	1998	2018	1980	1980	1980	2018	38	FN	38	1.000000	19.000000	0.500000	Gold_EMERGENCE	-	-
MAF	C0079786	2	0	0	1980	2018	1980	1980	1980	2018	38	TN	0	0.000000		-	-	-	-
MBP	C0014063	2	0	0	1973	2018	1973	1973	1973	2018	45	TN	0	0.000000	22.500000	0.500000	-	-	-
MBP	C0065661	2	1999	0	1984	2018	1973	1973	1973	2018	45	FN	45	1.000000		-	Gold_EMERGENCE	-	-
MCC	C0162804	2	1990	0	1991	2014	1988	1988	1988	2018	30	FN	30	1.000000	15.000000	0.500000	Gold_EMERGENCE	-	-
MCC	C0007129	2	0	0	1988	2018	1988	1988	1988	2018	30	TN	0	0.000000		-	-	-	-
MHC	C0027100	2	0	0	1986	2018	1978	1978	1978	2018	40	TN	0	0.000000	0.000000	0.000000	-	-	-
MHC	C0024518	2	0	0	1978	2018	1978	1978	1978	2018	40	TN	0	0.000000		-	-	-	-
MRS	C0025235	2	0	0	1950	2018	1950	1950	1950	2018	68	TN	0	0.000000	0.000000	0.000000	-	-	-
MRS	C0024487	2	0	0	1961	2018	1950	1950	1950	2018	68	TN	0	0.000000		-	-	-	-
Malaria	C0024530	2	0	0	1945	2018	1945	1945	1945	2018	73	TN	0	0.000000	36.500000	0.500000	-	-	-
Malaria	C0206255	2	1991	0	1945	2018	1945	1945	1945	2018	73	FN	73	1.000000		-	Gold_EMERGENCE	-	-
Medullary	C0025148	2	0	0	1947	2018	1946	1946	1946	2018	72	TN	0	0.000000	36.000000	0.500000	-	-	-
Medullary	C0001629	2	0	1946	1946	2018	1946	1946	1946	2018	72	FP	72	1.000000		-	-	Predicted_EMERGENCE	-
Milk	C0026140	2	0	0	1945	2018	1945	1945	1945	2018	73	TN	0	0.000000	0.000000	0.000000	-	-	-
Milk	C0026131	2	0	0	1945	2018	1945	1945	1945	2018	73	TN	0	0.000000		-	-	-	-
Moles	C0324740	2	0	0	1946	2018	1946	1946	1946	2018	72	TN	0	0.000000	36.000000	0.500000	-	-	-
Moles	C0027960	2	0	1946	1946	2018	1946	1946	1946	2018	72	FP	72	1.000000		-	-	Predicted_EMERGENCE	-
NBS	C0398791	2	2003	0	2002	2017	1947	1947	1947	2018	71	FN	71	1.000000	71.000000	1.000000	Gold_EMERGENCE	-	-
